SUBJID	PEER1	PEER2	PEER3	PEER4	PEER5	PEER6	PEER7	PEER8	PEER9	PEER10	PEER11	PEER12	PEER13	PEER14	PEER15
GTEX-T2IS-1526-SM-32QPR_PDUI	-0.0488672479987144	1.13182352379226e-06	-6.25124698672153e-08	3.79283484619464e-08	6.69802844299738e-08	1.35472930651304e-07	-1.42156872939836e-08	1.07112017033728e-08	2.21619522733363e-08	-1.47316310261658e-08	1.72613645599284e-09	-3.86078990999295e-09	2.350555972086e-09	3.88421961261542e-09	5.56764456760561e-09
GTEX-T5JW-2026-SM-4DM63_PDUI	-0.049821499735117	6.00576299802924e-08	7.82500109153261e-08	7.03458127304657e-08	7.85258649216303e-08	1.39268777843427e-07	-2.04372874179626e-08	8.73913119647796e-09	2.46112890067707e-08	-1.52625752036784e-08	1.18623988409894e-09	-3.7704106503611e-09	3.46502160297746e-09	3.66927377370985e-09	5.55705215177227e-09
GTEX-T6MO-0326-SM-32QOK_PDUI	-0.0485680215060711	1.09092843558756e-06	-1.14893936142835e-07	6.18206428271151e-08	7.09677721033586e-08	1.34065402335182e-07	-1.43720892964438e-08	1.02389190459462e-08	2.24020411110359e-08	-1.46984664439742e-08	1.77500958375987e-09	-3.88027521225354e-09	2.32426988766576e-09	3.82157994138765e-09	5.5851416824737e-09
GTEX-TMMY-0726-SM-33HBE_PDUI	-0.0485275089740753	1.05784317838697e-06	-8.54830233265602e-08	8.28769657346129e-08	6.97229864954352e-08	1.3537304255351e-07	-1.41050335855653e-08	1.00030961291964e-08	2.26234053712915e-08	-1.46720759985897e-08	1.78264936145922e-09	-3.92743126909068e-09	2.42229125646531e-09	3.83712839280292e-09	5.57540813517221e-09
GTEX-U3ZN-1926-SM-4DXSG_PDUI	-0.0492428727447987	-1.20678606663205e-07	1.12656032058567e-07	8.79397674680149e-08	7.18383219577845e-08	1.40735195941488e-07	-2.09342267964985e-08	7.68885577429046e-09	2.49584228839694e-08	-1.51263499503784e-08	1.10564957189752e-09	-3.71016173339456e-09	3.59391916227025e-09	3.58740259720491e-09	5.48935030764142e-09
GTEX-VJWN-0726-SM-3GIJ8_PDUI	-0.0493982210755348	1.60639172008814e-06	1.24084678532199e-07	9.42531119818568e-09	6.67254340669388e-08	1.35987903604473e-07	-1.26961010593618e-08	8.95344065554582e-09	2.14923190355876e-08	-1.43232368188251e-08	1.72510628004829e-09	-4.06976630173972e-09	2.33588504094939e-09	4.2946806111388e-09	5.47117329219304e-09
GTEX-WRHU-0326-SM-3MJFY_PDUI	-0.0492665506899357	6.85970121594437e-07	2.14322199099115e-07	8.51825774361714e-08	7.48066781852685e-08	1.39852517122563e-07	-1.77977668158746e-08	8.47181613750081e-09	2.36392487806825e-08	-1.4645824997217e-08	1.42443923323299e-09	-3.94776789036655e-09	3.14684789337605e-09	4.02117983355765e-09	5.4231108492786e-09
GTEX-WYVS-1726-SM-3NMAY_PDUI	-0.0488581545650959	9.3092234010328e-07	1.15503873132639e-07	8.55486419482077e-08	6.9912580613618e-08	1.39492328798951e-07	-1.63756386228897e-08	8.80362538424606e-09	2.31449064358458e-08	-1.45706282594915e-08	1.63681257436821e-09	-3.96688815129664e-09	2.79167644556821e-09	3.99001320872117e-09	5.46258682732059e-09
GTEX-X15G-1626-SM-3NMB3_PDUI	-0.0492811352014542	5.79772063247219e-07	1.64950435532774e-07	9.71346665323836e-08	7.40302823487582e-08	1.39727461601069e-07	-1.8669041423891e-08	8.41294056641573e-09	2.39089086306876e-08	-1.47343461875948e-08	1.45908152227037e-09	-3.91984489311881e-09	3.15293724462151e-09	3.92856458475421e-09	5.46648815102913e-09
GTEX-X4EP-2926-SM-3P5YQ_PDUI	-0.0489650331437588	-4.15044070223303e-07	2.25598839165286e-07	1.52096816918856e-07	6.97214233014165e-08	1.41592764180132e-07	-2.22399023641628e-08	7.28508942060557e-09	2.54860559323333e-08	-1.50574219759392e-08	9.83361170270314e-10	-3.73777142570475e-09	3.98777366683589e-09	3.55580032085356e-09	5.41151568000942e-09
GTEX-XMD2-0926-SM-4WWEF_PDUI	-0.0495461970567703	7.7036798984409e-07	4.03288112238442e-07	5.60180701825175e-08	7.112787159258e-08	1.3993123104683e-07	-1.92082350025657e-08	6.7776779744122e-09	2.3266395032806e-08	-1.44680267766262e-08	1.33491995235602e-09	-3.97652133443671e-09	3.33466609880873e-09	4.24225365946995e-09	5.29309751584606e-09
GTEX-XOT4-0726-SM-4GIAW_PDUI	-0.0491921305656433	5.55556084691489e-07	9.21881877502528e-08	8.84533548628497e-08	7.0946143182482e-08	1.40273769488886e-07	-1.7385318074048e-08	9.28558652191214e-09	2.38420874154599e-08	-1.49174930186291e-08	1.46587397775733e-09	-3.87766396769962e-09	3.07456282655494e-09	3.8367935495387e-09	5.50790124620448e-09
